video_id,canal,tema,idioma_estimado,prioridad,comment_id,parent_id,is_reply,author_display_name,text_original,published_at,updated_at,like_count,reply_count,source_platform,downloaded_at
2I6B6QSY7AA,Diego Ruzzarin,Conocí al dictador más raro del mundo.,es,Baja,Ugym9vmUgSO9mr0b5C14AaABAg,,0,@dorysisabeltapiasbuitrago5019,"Hola Dieguito 😂😂😂😂😂 Madurito me dijo que Venezuela no era socialista 🤡🤡🤡🤡 ya tenemos el recordatorio, la presidenta de México también es un títere del narco, te falta calle pero en tu país Dieguito ☺️☺️☺️☺️ conoce tus raíces y no hables de lo que no sabes irresponsable.",2026-01-06T20:54:14Z,2026-01-06T20:54:14Z,0,0,youtube,2026-04-05T13:39:46.749004
2I6B6QSY7AA,Diego Ruzzarin,Conocí al dictador más raro del mundo.,es,Baja,UgxrnEtkocsRI13cXWV4AaABAg,,0,@GASC86,"Esperemos no les roben los recursos o ya está pasando, mientras se habla del tema",2026-01-06T20:50:37Z,2026-01-06T20:50:37Z,0,0,youtube,2026-04-05T13:39:46.749006
2I6B6QSY7AA,Diego Ruzzarin,Conocí al dictador más raro del mundo.,es,Baja,Ugzhg5Sd_Xa2NOovh7p4AaABAg,,0,@Sigarroo,"Solo vine a dejar el dislike y a burlarme de que al fin el asqueroso de maduro este tras las rejas
Saludos dieguito, has de andar triste",2026-01-06T19:04:53Z,2026-01-06T19:04:53Z,2,0,youtube,2026-04-05T13:39:46.749009
2I6B6QSY7AA,Diego Ruzzarin,Conocí al dictador más raro del mundo.,es,Baja,UgwV8M5fIt6ZZCgkqzF4AaABAg,,0,@FranciscoFaundez-pj2xs,Todos los dictadores tienen fanáticos y defensores.,2026-01-06T18:29:26Z,2026-01-06T18:29:26Z,0,0,youtube,2026-04-05T13:39:47.561007
2I6B6QSY7AA,Diego Ruzzarin,Conocí al dictador más raro del mundo.,es,Baja,UgwwCAxLLHiQFZS64Al4AaABAg,,0,@sergioguzmancanido3691,Recibió dinero de la narco dictadura,2026-01-06T18:23:33Z,2026-01-06T18:23:33Z,0,0,youtube,2026-04-05T13:39:47.561026
2I6B6QSY7AA,Diego Ruzzarin,Conocí al dictador más raro del mundo.,es,Baja,UgyzBnaq171BSTQPvyx4AaABAg,,0,@danielzapata3578,"El error de Venezuela fue que los que querian un país libre del chavismo, tocaron la puerta de los yankis .",2026-01-06T17:29:36Z,2026-01-06T17:29:36Z,0,0,youtube,2026-04-05T13:39:47.561030
2I6B6QSY7AA,Diego Ruzzarin,Conocí al dictador más raro del mundo.,es,Baja,UgxrNBczh9KIzuT-i6h4AaABAg,,0,@juanjosemartinez1955,"No mamar, el PRI hacia procesos electorales con solo 1 candidato.",2026-01-06T16:20:31Z,2026-01-06T16:20:31Z,0,0,youtube,2026-04-05T13:39:47.561034
2I6B6QSY7AA,Diego Ruzzarin,Conocí al dictador más raro del mundo.,es,Baja,UgwRc4kzfGMyTKukgRx4AaABAg,,0,@ARTUROsoy,¿Que se siente sentarse al lado de un narcoterrorista y blanquéale su imagen?,2026-01-06T15:34:54Z,2026-01-06T15:34:54Z,3,0,youtube,2026-04-05T13:39:47.561039
2I6B6QSY7AA,Diego Ruzzarin,Conocí al dictador más raro del mundo.,es,Baja,UgwyVtsG8NRArPiY7Bx4AaABAg,,0,@Rober-w8t,"Apoyalo se empático xon él y vete a NY que te encierren , jajajaja",2026-01-06T14:38:29Z,2026-01-06T14:38:29Z,2,0,youtube,2026-04-05T13:39:47.561044
2I6B6QSY7AA,Diego Ruzzarin,Conocí al dictador más raro del mundo.,es,Baja,UgxxwWw2qqbo8zLb4Np4AaABAg,,0,@tomasordoquiariza1921,"Que bien, me alegro que todo tus seguidores hayan hecho el deber social de condenarte por blanquear una dictadura de una manera tan intelectualmente deshonesta. Demagogo",2026-01-06T14:07:19Z,2026-01-06T14:07:19Z,0,0,youtube,2026-04-05T13:39:47.561048
