dataset,file_path,text_column,label_column,label_values,use_for,notes
multilingual_toxicity_dataset_es,data/external/multilingual_toxicity_dataset_es/multilingual_toxicity_dataset_es.csv,PENDIENTE_VERIFICAR,PENDIENTE_VERIFICAR,PENDIENTE_VERIFICAR,train,Dataset principal de entrenamiento binario
clandestino,data/external/clandestino,PENDIENTE_VERIFICAR,PENDIENTE_VERIFICAR,PENDIENTE_VERIFICAR,train_optional,Dataset complementario para ampliar cobertura regional y léxica
detoxis,data/external/detoxis,PENDIENTE_VERIFICAR,PENDIENTE_VERIFICAR,PENDIENTE_VERIFICAR,validation,Dataset de validación externa principal
multilingual_toxicity_explained_es,data/external/multilingual_toxicity_explained_es/multilingual_toxicity_explained_es.csv,PENDIENTE_VERIFICAR,PENDIENTE_VERIFICAR,PENDIENTE_VERIFICAR,analysis,Dataset para análisis cualitativo e interpretabilidad
multilingual_paradetox_es,data/external/multilingual_paradetox_es/multilingual_paradetox_es.csv,PENDIENTE_VERIFICAR,PENDIENTE_VERIFICAR,PENDIENTE_VERIFICAR,analysis,Dataset para ejemplos y posibles casos de prueba o reformulación
youtube_own_sample,data/external/youtube_own_sample,PENDIENTE_VERIFICAR,PENDIENTE_VERIFICAR,PENDIENTE_VERIFICAR,final_validation,Muestra propia del proyecto para validación real
